Time:long,Delta Time:ulong,Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Domain:string,Class:string,Type:string,Data Message:string,Data:ulong,Trace Status:string,Receiver Status:string,
"8245780","","128","CPTracer","","CPT","L2_3","Throughput Counter1","Value","","1200","","",
"8245780","","128","CPTracer","","CPT","L2_3","Total Wait Time Counter","Value","","0","","",
"8245780","","128","CPTracer","","CPT","L2_3","Total Granted Counter","Value","","300","","",
"8256855","11075","128","CPTracer","","CPT","MSMC_1","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","72","","",
"8256855","","128","CPTracer","","CPT","MSMC_1","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","72","","",
"8256855","","128","CPTracer","","CPT","MSMC_1","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","2","","",
"8256855","","128","CPTracer","","CPT","MSMC_1","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8256855","","128","CPTracer","","CPT","MSMC_1","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8256855","","128","CPTracer","","CPT","MSMC_1","Throughput Counter0","Value","","9504","","",
"8256855","","128","CPTracer","","CPT","MSMC_1","Throughput Counter1","Value","","9504","","",
"8256855","","128","CPTracer","","CPT","MSMC_1","Total Wait Time Counter","Value","","594","","",
"8256855","","128","CPTracer","","CPT","MSMC_1","Total Granted Counter","Value","","297","","",
"8258706","1851","128","CPTracer","","CPT","L2_2","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","6","","",
"8258706","","128","CPTracer","","CPT","L2_2","Average Access Size(bytes/cycle) = ThroughPutCounter1 / Num Access Granted","Value","","4","","",
"8258706","","128","CPTracer","","CPT","L2_2","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8258706","","128","CPTracer","","CPT","L2_2","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8258706","","128","CPTracer","","CPT","L2_2","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","0","","",
"8258706","","128","CPTracer","","CPT","L2_2","Selected bus throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","6","","",
"8258706","","128","CPTracer","","CPT","L2_2","Throughput Counter0","Value","","1200","","",
"8258706","","128","CPTracer","","CPT","L2_2","Throughput Counter1","Value","","1200","","",
"8258706","","128","CPTracer","","CPT","L2_2","Total Wait Time Counter","Value","","0","","",
"8258706","","128","CPTracer","","CPT","L2_2","Total Granted Counter","Value","","300","","",
"8263830","5124","128","CPTracer","","CPT","MSMC_0","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","122","","",
"8263830","","128","CPTracer","","CPT","MSMC_0","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","122","","",
"8263830","","128","CPTracer","","CPT","MSMC_0","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","3","","",
"8263830","","128","CPTracer","","CPT","MSMC_0","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","1","","",
"8263830","","128","CPTracer","","CPT","MSMC_0","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8263830","","128","CPTracer","","CPT","MSMC_0","Throughput Counter0","Value","","16000","","",
"8263830","","128","CPTracer","","CPT","MSMC_0","Throughput Counter1","Value","","16000","","",
"8263830","","128","CPTracer","","CPT","MSMC_0","Total Wait Time Counter","Value","","1005","","",
"8263830","","128","CPTracer","","CPT","MSMC_0","Total Granted Counter","Value","","500","","",
"8276249","12419","128","CPTracer","","CPT","MSMC_3","Bus Throughput(MBytes/s) = ThroughPutCounter0 / Sliding Time Window","Value","","48","","",
"8276249","","128","CPTracer","","CPT","MSMC_3","Bus Throughput(MBytes/s) = ThroughPutCounter1 / Sliding Time Window","Value","","48","","",
"8276249","","128","CPTracer","","CPT","MSMC_3","Bus Utilization(Mil Transactions/s) = Num Access Granted / Sliding Time Window","Value","","1","","",
"8276249","","128","CPTracer","","CPT","MSMC_3","Bus Contention(%) = Accumulated wait time / Sliding Time Window","Value","","0","","",
"8276249","","128","CPTracer","","CPT","MSMC_3","Min. Average Latency (cycles / transaction) = Accumulated wait time / Num Access Granted","Value","","2","","",
"8276249","","128","CPTracer","","CPT","MSMC_3","Throughput Counter0","Value","","6400","","",
