Type:uinteger,Time:timestampu,Error:uinteger,Master:string,Message:string,Event:string,EventClass:string,Data1:string,Data2:string,SeqNo:timestampu,Logger:string,Module:string,Domain:string,Local Time:timestampu,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,
6,154613513349,0,C64XP_0,Stop: tsk0_loop,Stop,tsk0_loop,tsk0_loop,,9,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,4341683526,8961455,4,,,,,,,
,154613514960,0,C64XP_0,"LD_block: tsk: 0x855260, func: 0x248030",Task_LD_block,Unknown,,,293,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,4341684653,8737376,2392112,,,,,,,
,154613515474,0,C64XP_0,"LM_sleep: tsk: 0x855260, func: 0x248030, timeout: 10",Task_LM_sleep,Unknown,,,294,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,4341685013,8737376,2392112,10,0,,,,,
,154613516314,0,C64XP_0,"LM_switch: oldtsk: 0x855260, oldfunc: 0x248030, newtsk: 0x874700, newfunc: 0x2a2e20",CtxChg,TSK,TSK_idle,,295,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,4341685602,8737376,2392112,8865536,2764320,,,,,
6,154615227463,0,C64XP_3,"StopInstanceWithAdrs: Benchmark function (matmult): task=0x854950, fnAdrs=0x24ab84",Stop,FUNC,matmult().854950,matmult(),56,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,78988797336,8962098,8735056,2403204,0,,,,,
6,154615227857,0,C64XP_3,"VALUE=500 (AuxData=0, 0) Key:Terms",UIAEvt_intWithKey,Unknown,Terms,500,57,Main Logger,ti.uia.events.UIAEvt,xdc.runtime.Main,78988797611,500,0,0,8962031,,,,,
6,154615414972,0,C64XP_3,Stop: Math Oprns:,Stop,Math Oprns,Math Oprns,,58,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,78988928592,8962009,,,,,,,,
,154615423372,0,C64XP_3,"LM_pend: sem: 0x855298, count: 0, timeout: -1",Semaphore_LM_pend,Unknown,,,274,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,78988934470,8737432,0,4294967295,0,,,,,
,154615423869,0,C64XP_3,"LD_block: tsk: 0x854950, func: 0x248364",Task_LD_block,Unknown,,,275,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,78988934820,8735056,2392932,,,,,,,
,154615424794,0,C64XP_3,"LM_switch: oldtsk: 0x854950, oldfunc: 0x248364, newtsk: 0x874700, newfunc: 0x2a2e20",CtxChg,TSK,TSK_idle,,276,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,78988935469,8735056,2392932,8865536,2764320,,,,,
,154615431026,0,C64XP_4,"LM_post: sem: 0x855298, count: 0",Semaphore_LM_post,Unknown,,,276,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,63926977032,8737432,0,,,,,,,
,154615431609,0,C64XP_4,"LD_ready: tsk: 0x854950, func: 0x248364, pri: 1",Task_LD_ready,Unknown,,,277,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,63926977440,8735056,2392932,1,0,,,,,
,154615434806,0,C64XP_4,"LM_switch: oldtsk: 0x874700, oldfunc: 0x2a2e20, newtsk: 0x854950, newfunc: 0x248364",CtxChg,TSK,tsk1_func(),,278,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,63926979682,8865536,2764320,8735056,2392932,,,,,
6,154615435774,0,C64XP_4,Start: Math Oprns:,Start,Math Oprns,Math Oprns,,54,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,63926980360,8962009,,,,,,,,
6,154615436212,0,C64XP_4,"StartInstanceWithAdrs: Benchmark function (matmult): task=0x854950, fnAdrs=0x24ab84",Start,FUNC,matmult().854950,matmult(),55,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,63926980665,8962098,8735056,2403204,0,,,,,
,154623405352,0,C64XP_0,"LD_ready: tsk: 0x855260, func: 0x248030, pri: 1",Task_LD_ready,Unknown,,,296,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,4348607926,8737376,2392112,1,0,,,,,
,154623406474,0,C64XP_0,"LM_switch: oldtsk: 0x874700, oldfunc: 0x2a2e20, newtsk: 0x855260, newfunc: 0x248030",CtxChg,TSK,tsk0_func(),,297,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,4348608716,8865536,2764320,8737376,2392112,,,,,
6,154623407383,0,C64XP_0,Start: tsk0_loop,Start,tsk0_loop,tsk0_loop,,10,Main Logger,ti.uia.events.UIABenchmark,xdc.runtime.Main,4348609349,8961455,4,,,,,,,
,154623415989,0,C64XP_0,"LM_pend: sem: 0x858070, count: 0, timeout: -1",Semaphore_LM_pend,Unknown,,,298,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,4348615374,8749168,0,4294967295,0,,,,,
,154623416512,0,C64XP_0,"LD_block: tsk: 0x855260, func: 0x248030",Task_LD_block,Unknown,,,299,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,4348615738,8737376,2392112,,,,,,,
,154623417437,0,C64XP_0,"LM_switch: oldtsk: 0x855260, oldfunc: 0x248030, newtsk: 0x874700, newfunc: 0x2a2e20",CtxChg,TSK,TSK_idle,,300,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,4348616387,8737376,2392112,8865536,2764320,,,,,
,154624722686,0,C64XP_3,"LM_post: event: 0x8745a0, currEvents: 0x0, eventId: 0x1",Event_LM_post,Unknown,,,277,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,78995443988,8865184,0,1,0,,,,,
,154624723260,0,C64XP_3,"LD_ready: tsk: 0x874748, func: 0x24cb14, pri: 1",Task_LD_ready,Unknown,,,278,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,78995444390,8865608,2411284,1,0,,,,,
,154624724460,0,C64XP_3,"LM_switch: oldtsk: 0x874700, oldfunc: 0x2a2e20, newtsk: 0x874748, newfunc: 0x24cb14",CtxChg,TSK,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,279,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,78995445232,8865536,2764320,8865608,2411284,,,,,
,154624726380,0,C64XP_3,"LM_pend: event: 0x8745a0, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,280,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,78995446576,8865184,0,0,7,4294967295,0,0,0,
,154624726929,0,C64XP_3,"LD_block: tsk: 0x874748, func: 0x24cb14",Task_LD_block,Unknown,,,281,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,78995446963,8865608,2411284,,,,,,,
,154624727889,0,C64XP_3,"LM_switch: oldtsk: 0x874748, oldfunc: 0x24cb14, newtsk: 0x874700, newfunc: 0x2a2e20",CtxChg,TSK,TSK_idle,,282,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,78995447634,8865608,2411284,8865536,2764320,,,,,
,154654826683,0,C64XP_4,"LM_post: event: 0x8745a0, currEvents: 0x0, eventId: 0x1",Event_LM_post,Unknown,,,279,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,63954553994,8865184,0,1,0,,,,,
,154654827240,0,C64XP_4,"LD_ready: tsk: 0x874748, func: 0x24cb14, pri: 1",Task_LD_ready,Unknown,,,280,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,63954554383,8865608,2411284,1,0,,,,,
,154656655878,0,C64XP_1,"LM_post: event: 0x8745a0, currEvents: 0x0, eventId: 0x1",Event_LM_post,Unknown,,,274,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,108056527095,8865184,0,1,0,,,,,
,154656656418,0,C64XP_1,"LD_ready: tsk: 0x874748, func: 0x24cb14, pri: 1",Task_LD_ready,Unknown,,,275,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,108056527471,8865608,2411284,1,0,,,,,
,154656657618,0,C64XP_1,"LM_switch: oldtsk: 0x874700, oldfunc: 0x2a2e20, newtsk: 0x874748, newfunc: 0x24cb14",CtxChg,TSK,ti_uia_sysbios_IpcMP_transferAgentFxn__E(),,276,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,108056528313,8865536,2764320,8865608,2411284,,,,,
,154656658895,0,C64XP_1,"LM_pend: event: 0x8745a0, currEvents: 0x0, andMask: 0x0, orMask: 0x7, timeout: -1",Event_LM_pend,Unknown,,,277,SYSBIOS System Logger,ti.sysbios.knl.Event,ti.sysbios.knl.Event,108056529207,8865184,0,0,7,4294967295,0,0,0,
,154656659409,0,C64XP_1,"LD_block: tsk: 0x874748, func: 0x24cb14",Task_LD_block,Unknown,,,278,SYSBIOS System Logger,ti.sysbios.knl.Task,ti.sysbios.knl.Task,108056529565,8865608,2411284,,,,,,,
,154656660283,0,C64XP_1,"LM_switch: oldtsk: 0x874748, oldfunc: 0x24cb14, newtsk: 0x874700, newfunc: 0x2a2e20",CtxChg,TSK,TSK_idle,,279,SYSBIOS System Logger,_ti.uia.events.UIAThreadCtx,ti.sysbios.knl.Task,108056530175,8865608,2411284,8865536,2764320,,,,,
,154656853278,0,C64XP_1,"LM_pend: sem: 0x874b9c, count: 1, timeout: -1",Semaphore_LM_pend,Unknown,,,280,SYSBIOS System Logger,ti.sysbios.knl.Semaphore,ti.sysbios.knl.Semaphore,108056665270,8866716,1,4294967295,0,,,,,
