Program Address:uinteger:hex,Load Address:uinteger:hex,Read Data:ulong,Write Data:ulong,Delta Cycles:ulong,Cycle:long,Trace Status:string,Filename:string,Function:string,Source:string,Disassembly:string,
"0x8815B336","0x8815B336","","","1","32022","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","    [ A0]  MVK.L1        1,A0",
"0x8815B338","0x8815B338","","","","32022","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||  [!A0]  EXTU.S1       A5,27,31,A0",
"0x8815B340","0x8815B340","","","1","32023","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","    [ A0]  AND.L1        8,A3,A0",
"0x8815B344","0x8815B344","","","","32023","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||         MV.S1         A0,A2",
"0x8815B346","0x8815B346","","","","32023","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||         MV.D1         A0,A1",
"0x8815B348","0x8815B348","","","","32023","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","||  [!A0]  B.S2          0x8815b3f8",
"","","","","997","32024","","","","","",
"0x8817BB50","0x8817BB50","","","1","33021","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/hal/Hwi_stack.c","ti_sysbios_hal_Hwi_checkStack()","<Source file not found>","           CMPEQ.L2X     B5,A4,B0",
"0x8817BB54","0x8817BB54","","","1","33022","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/hal/Hwi_stack.c","ti_sysbios_hal_Hwi_checkStack()","","    [ B0]  B.S1          0x8817bb78",
"0x8817BB58","0x8817BB58","","","","33022","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/hal/Hwi_stack.c","ti_sysbios_hal_Hwi_checkStack()","","||  [ B0]  LDW.D2T2      *+B15[3],B3",
"0x8817BB5C","0x8817BB5C","","","","33022","","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/hal/Hwi_stack.c","ti_sysbios_hal_Hwi_checkStack()","","||  [!B0]  LDW.D1T1      *+A3[0],A8",
"","","","","999","33023","","","","","",
"0x8815B3B4","0x8815B3B4","","","1","34022","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","<Source file not found>","           XOR.L2        B5,1,B5",
"0x8815B3B6","0x8815B3B6","","","1","34023","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/utils/Load.c","ti_sysbios_utils_Load_idleFxn__E()","","           AND.L2        B4,B5,B0",
"","","","","1001","34024","","","","","",
"0x8817BE7C","0x8817BE7C","","","1","35025","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection on","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","<Source file not found>","           CMPGT.L2X     B4,A10,B0",
"0x8817BE80","0x8817BE80","","","1","35026","Stall timing collection on, cycle columns show stall timing and pipeline advances, PC collection off","/db/vtree/library/trees/avala/avala-q41x/src/ti/sysbios/knl/Idle.c","ti_sysbios_knl_Idle_loop__E(unsigned int, unsigned int)","","    [ B0]  BNOP.S1       0x8817be64,4",
