Master ID:ubyte,Master Name:string,Channel Number:ubyte,Module:string,Data Message:string,Data:ulong,Domain:string,Class:string,Type:string,Data Size:ubyte,Address:uinteger,Delta Cycles:ulong,Cycle:integer,Trace Status:string,Receiver Status:string,Local Delta Timestamp:ulong,Local Timestamp:integer,Overflow Count:ubyte,Trace Position Data,Program Address:uinteger,Load Address:uinteger,
,,,,,,,,,,,,,Start of trace,,,,,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,502,12773,,,1004,1450202,,0x54 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,2,iCONT1,task1,Event,,,258,13031,,,516,1451206,,0x55 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,stop,8,iCONT1,task4,Event,,,17,13048,,,37,1451722,,0x56 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,1,iCONT1,task1,Event,,,0,13048,,,2,1451759,,0x57 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,13050,,,1,1451761,,0x58 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,2,13052,,,15,1451762,,0x59 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,296,13348,,,592,1451777,,0x5a 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,76,13424,,,158,1452369,,0x5b 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,129,13553,,,256,1452527,,0x5c 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
164,SMSET,,SET,start,7,iCONT1,task4,Event,,,498,14051,,,1004,1452783,,0x5d 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 ,,,
