,GPIO113,,,,,,,,,,,,,,,,,,,,GPIO113,,EQEP2S,EQEP3B
,GPIO114,,,,,,,,,,,,,,,,,,U0Rx,,GPIO114,,,
,GPIO115,,,,,,,,,,,,,,,,,,U0Tx,,GPIO115,,,
,GPIO116,,,,,,,,,,,,,,,,,SSI1Tx,,,GPIO116,,,
,GPIO117,,,,,,,,,,,,,,,,,SSI1Rx,,,GPIO117,,,
,GPIO118,,,,,,,,,,,,,,,,,,,,GPIO118,,SCITXDA,
,GPIO119,,,,,,,,,,,,,,,,,,,,GPIO119,,SCIRXDA,
,GPIO120,,,,,,,,,,,,,,,,,SSI3Tx,,,GPIO120,,
,GPIO121,,,,,,,,,,,,,,,,,SSI3Rx,,,GPIO121,,
,GPIO122,,,,,,,,,,,,,,,,,SSI3Clk,,,GPIO122,,
,GPIO123,,,,,,,,,,,,,,,,,SSI3Fss,,,GPIO123,,
,GPIO124,,,,,,,,,,,,,,,,,,,,GPIO124,EPWM7A,,
,GPIO125,,,,,,,,,,,,,,,,,,,,GPIO125,EPWM7B,,
,GPIO126,,,,,,,,,,,,,,,,,,,,GPIO126,EPWM8A,,
,GPIO127,,,,,,,,,,,,,,,,,,,,GPIO127,EPWM8B,,
,GPIO128,,,,,,,,,,,,,,,,,,,,GPIO128,EPWM9A,,
,GPIO129,,,,,,,,,,,,,,,,,,,,GPIO129,EPWM9B,,
,GPIO130,,,,,,,,,,,,,,,,,,,,GPIO130,EPWM10A,,
,GPIO131,,,,,,,,,,,,,,,,,,,,GPIO131,EPWM10B,,
,GPIO132,,,,,,,,,,,,,,,,,,,,GPIO132,EPWM11A,,
,GPIO133,,,,,,,,,,,,,,,,,,,,GPIO133,EPWM11B,,
,GPIO134,,,,,,,,,,,,,,,,,,,,GPIO134,EPWM12A,,
,GPIO135,,,,,,,,,,,,,,,,,,,,GPIO135,EPWM12B,,
